,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
0,,,404,,,,,city not found,,,,,,
1,stations,{'all': 90},200,"{'lon': -52.73, 'lat': 47.67}",1512864000.0,6167817.0,"{'temp': 33.8, 'pressure': 1021, 'humidity': 100, 'temp_min': 33.8, 'temp_max': 33.8}",,Torbay,,"{'type': 1, 'id': 3467, 'message': 0.2489, 'country': 'CA', 'sunrise': 1512904114, 'sunset': 1512934742}",24140.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 5.82, 'deg': 160}"
2,stations,{'all': 8},200,"{'lon': 113.63, 'lat': -24.87}",1512866656.0,2074865.0,"{'temp': 73, 'pressure': 1022.05, 'humidity': 98, 'temp_min': 73, 'temp_max': 73, 'sea_level': 1023.34, 'grnd_level': 1022.05}",,Carnarvon,,"{'message': 0.1685, 'country': 'AU', 'sunrise': 1512854932, 'sunset': 1512904063}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 9.28, 'deg': 338.002}"
3,,,404,,,,,city not found,,,,,,
4,stations,{'all': 24},200,"{'lon': 120.32, 'lat': 63.45}",1512866659.0,2013639.0,"{'temp': -30.6, 'pressure': 1035.5, 'humidity': 52, 'temp_min': -30.6, 'temp_max': -30.6, 'sea_level': 1055.56, 'grnd_level': 1035.5}",,Verkhnevilyuysk,,"{'message': 0.1653, 'country': 'RU', 'sunrise': 1512869281, 'sunset': 1512886478}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 5.93, 'deg': 238.002}"
5,stations,{'all': 88},200,"{'lon': -52.25, 'lat': -15.9}",1512866660.0,3471840.0,"{'temp': 72.37, 'pressure': 967.82, 'humidity': 98, 'temp_min': 72.37, 'temp_max': 72.37, 'sea_level': 1019.98, 'grnd_level': 967.82}",,Aragarcas,{'3h': 0.3},"{'message': 0.0033, 'country': 'BR', 'sunrise': 1512895821, 'sunset': 1512942819}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 2.68, 'deg': 254.002}"
6,stations,{'all': 80},200,"{'lon': -49.15, 'lat': -13.44}",1512866661.0,3453014.0,"{'temp': 71.92, 'pressure': 963.12, 'humidity': 98, 'temp_min': 71.92, 'temp_max': 71.92, 'sea_level': 1021.19, 'grnd_level': 963.12}",,Porangatu,{'3h': 0.35},"{'message': 0.1744, 'country': 'BR', 'sunrise': 1512895349, 'sunset': 1512941802}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 3.58, 'deg': 305.502}"
7,stations,{'all': 0},200,"{'lon': 19.23, 'lat': -34.42}",1512866662.0,3366880.0,"{'temp': 58.6, 'pressure': 993.27, 'humidity': 69, 'temp_min': 58.6, 'temp_max': 58.6, 'sea_level': 1033.07, 'grnd_level': 993.27}",,Hermanus,,"{'message': 0.1639, 'country': 'ZA', 'sunrise': 1512876232, 'sunset': 1512928094}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 10.96, 'deg': 94.0023}"
8,stations,{'all': 20},200,"{'lon': -175.2, 'lat': -21.2}",1512864000.0,4032243.0,"{'temp': 84.2, 'pressure': 1008, 'humidity': 74, 'temp_min': 84.2, 'temp_max': 84.2}",,Vaini,,"{'type': 1, 'id': 8323, 'message': 0.1686, 'country': 'TO', 'sunrise': 1512924720, 'sunset': 1512972955}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 11.41, 'deg': 130}"
9,stations,{'all': 75},200,"{'lon': -155.09, 'lat': 19.73}",1512863760.0,5855927.0,"{'temp': 67.05, 'pressure': 1014, 'humidity': 57, 'temp_min': 59, 'temp_max': 77}",,Hilo,,"{'type': 1, 'id': 818, 'message': 0.1666, 'country': 'US', 'sunrise': 1512924266, 'sunset': 1512963745}",16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 8.05, 'deg': 50}"
10,stations,{'all': 0},200,"{'lon': 102.5, 'lat': 71.97}",1512866666.0,2022572.0,"{'temp': -20.25, 'pressure': 1045.23, 'humidity': 30, 'temp_min': -20.25, 'temp_max': -20.25, 'sea_level': 1050.66, 'grnd_level': 1045.23}",,Khatanga,,"{'message': 0.1663, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 13.09, 'deg': 107.502}"
11,stations,{'all': 0},200,"{'lon': 11.22, 'lat': 42.44}",1512863700.0,3171985.0,"{'temp': 37.4, 'pressure': 1018, 'humidity': 78, 'temp_min': 37.4, 'temp_max': 37.4}",,Orbetello,,"{'type': 1, 'id': 5862, 'message': 0.1657, 'country': 'IT', 'sunrise': 1512887619, 'sunset': 1512920532}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.36, 'deg': 40}"
12,stations,{'all': 0},200,"{'lon': -134.97, 'lat': -23.12}",1512866669.0,4030556.0,"{'temp': 78.49, 'pressure': 1028.29, 'humidity': 100, 'temp_min': 78.49, 'temp_max': 78.49, 'sea_level': 1028.33, 'grnd_level': 1028.29}",,Rikitea,,"{'message': 0.1649, 'country': 'PF', 'sunrise': 1512914828, 'sunset': 1512963532}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.13, 'deg': 58.0023}"
13,stations,{'all': 36},200,"{'lon': 95.32, 'lat': 5.89}",1512866670.0,1214026.0,"{'temp': 81.46, 'pressure': 1024.72, 'humidity': 100, 'temp_min': 81.46, 'temp_max': 81.46, 'sea_level': 1025.25, 'grnd_level': 1024.72}",,Sabang,,"{'message': 0.1721, 'country': 'ID', 'sunrise': 1512862664, 'sunset': 1512905114}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 6.38, 'deg': 81.5023}"
14,stations,{'all': 88},200,"{'lon': -51.72, 'lat': 64.18}",1512863400.0,3421319.0,"{'temp': 33.8, 'pressure': 995, 'humidity': 81, 'temp_min': 33.8, 'temp_max': 33.8}",,Nuuk,,"{'type': 1, 'id': 4801, 'message': 0.1656, 'country': 'GL', 'sunrise': 1512911279, 'sunset': 1512927086}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 6.93, 'deg': 190}"
15,,,404,,,,,city not found,,,,,,
16,stations,{'all': 56},200,"{'lon': 128.87, 'lat': 71.69}",1512866674.0,2015306.0,"{'temp': -13.45, 'pressure': 1035.83, 'humidity': 63, 'temp_min': -13.45, 'temp_max': -13.45, 'sea_level': 1055.52, 'grnd_level': 1035.83}",,Tiksi,,"{'message': 0.1665, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 2.91, 'deg': 28.0023}"
17,,,404,,,,,city not found,,,,,,
18,stations,{'all': 0},200,"{'lon': 81.77, 'lat': 51.95}",1512866676.0,1494331.0,"{'temp': 13.15, 'pressure': 1007.37, 'humidity': 76, 'temp_min': 13.15, 'temp_max': 13.15, 'sea_level': 1038.62, 'grnd_level': 1007.37}",,Pospelikha,,"{'message': 0.1648, 'country': 'RU', 'sunrise': 1512872970, 'sunset': 1512901304}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 8.16, 'deg': 187.502}"
19,stations,{'all': 20},200,"{'lon': 147.33, 'lat': -42.88}",1512864000.0,2163355.0,"{'temp': 73.4, 'pressure': 1014, 'humidity': 35, 'temp_min': 73.4, 'temp_max': 73.4}",,Hobart,,"{'type': 1, 'id': 8195, 'message': 0.1666, 'country': 'AU', 'sunrise': 1512843933, 'sunset': 1512898891}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 19.46, 'deg': 310}"
